ID,Area,Feature,Description,PCB,System,InScope,Usage#,Name,Type,Complexity,NewMod,NoOfUnits,WP,Adjustor,Comments,Functional assumptions
CRM-Business on Behalf,CRM,Business on Behalf,The Business on Behalf feature lets you have multiple Company Users per Customer Account with the possibility to assign one Company User to be a default user. This default user can switch between the assigned business units,B2B,Frontend,Y,1,Business on Behalf,configuration objects type 3,medium,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/customer-relationship-management/202307.0/base-shop/company-account-feature-overview/business-on-behalf-overview.html,
PIM-Downloadable/virtual products,PIM,Downloadable/virtual products,Non-physical product support,Custom,Backoffice,Y,1,Downloadable/virtual products,commerce business modules,medium,new,1,WP 1,100%,,
CRM-Company Account,CRM,Company Account,"On the Company Account page, the user has a clear overview of their business' structure, hierarchy, shipping and billing addresses, other users in their Business Unit",B2B,Frontend,Y,1,Company Account,commerce business modules,complex,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/customer-relationship-management/202307.0/base-shop/company-account-feature-overview/company-accounts-overview.html ,
RFQ-Marketplace distributor RFQ,RFQ,Marketplace distributor RFQ,Price quote is requested from platform distributors not platform owner itself. ,Custom,Frontend,N,1,Marketplace distributor RFQ,commerce business modules,complex,new,1,WP 1,100%,,
CRM-Customer Access,CRM,Customer Access,"Customer Access lets store administrators define whether certain information is visible to logged-out users: price, order-place-submit, add-to-cart,wishlist, shopping-list",Base,Frontend,Y,1,Customer Access,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/customer-relationship-management/202307.0/base-shop/customer-access-feature-overview.html,
CRM-Customer Accounts,CRM,Customer Accounts,"A customer account contains the following customer information about the Storefront: Contact details, Addresses, Order history, Preferences, such as language and shipping options",Base,Frontend,Y,1,Customer Accounts,commerce business modules,complex,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/customer-relationship-management/202307.0/base-shop/customer-account-management-feature-overview/customer-accounts-overview.html,
CRM-Customer Groups,CRM,Customer Groups,Customer Groups used to organize customers into groups to help you target users for discounts and promotions.,Base,Backoffice,Y,1,Customer Groups,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/customer-relationship-management/202307.0/base-shop/customer-account-management-feature-overview/customer-groups-overview.html,
CRM-Customer impersonation,CRM,Customer impersonation,Admin or internal user can login as specific customer,Base,Backoffice,Y,1,Customer impersonation,configuration objects type 3,medium,modified,1,WP 1,100%,,
CRM-Customer Login,CRM,Customer Login,"The feature with an secure password policy prevents brute-force.
Block a Storefront user account for some time after a certain number of login attempts.
Enforce the use of strong passwords by defining requirements for a password.",Base,Frontend,Y,1,Customer Login,commerce business modules,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/customer-relationship-management/202307.0/base-shop/customer-account-management-feature-overview/customer-login-overview.html,
CRM-Customer Registration,CRM,Customer Registration,"Customer registration is done by double opt-in. A double opt-in occurs when a user signs up, and an email with a registration confirmation link is sent to them. After they click the verification link, their account is activated.
Registration via checkout is available.",Base,Frontend,Y,1,Customer Registration,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/customer-relationship-management/202307.0/base-shop/customer-account-management-feature-overview/customer-registration-overview.html,
DAM-File Manager,DAM,File Manager,The File Manager feature lets you upload and manage your assets (media files) effectively,Base,Backoffice,N,1,File Manager,configuration objects type 1,simple,new,1,WP 1,100%,,
CRM-Registration of new Company,CRM,Registration of new Company,new customers can register their company through a self-service registration form in your B2B online shop,0,Frontend,Y,1,Registration of new Company,configuration objects type 3,simple,modified,1,WP 1,100%,,
Discount-Cart rule,Discount,Cart rule,A cart rule is a discount that applies to a cart once all the decision rules linked to the cart rule are fulfilled.,Base,Backoffice,N,1,Cart rule,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/discount-management/202307.0/base-shop/promotions-discounts-feature-overview.html#cart-rule,
Discount-Discounts based on shipment,Discount,Discounts based on shipment,"Activate a discount rule based on a shipment carrier, a shipment method, or a shipment price.
Based on custom shipment pre-check plugin to checkout.",Custom,Backoffice,N,1,Discounts based on shipment,,,,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/discount-management/202307.0/base-shop/create-discounts-based-on-shipment.html,
Discount-Promotions & Discounts,Discount,Promotions & Discounts,"The Discount Management feature lets shop owners provide free value to their customers by discounting the percentage or fixed sum of an order’s subtotal, or an item’s price on predefined conditions.",Base,Backoffice,N,1,Promotions & Discounts,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/discount-management/202212.0/base-shop/promotions-discounts-feature-overview.html,
Discount-Vouchers,Discount,Vouchers,A voucher is a discount that applies when a customer enters an active voucher code on the Cart page.,Base,Backoffice,N,1,Vouchers,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/discount-management/202307.0/base-shop/promotions-discounts-feature-overview.html#voucher,
Discount-Vouchers - export,Discount,Vouchers - export,Downloading a CSV file with the codes from Backoffice.,Base,Backoffice,N,1,Vouchers - export,configuration objects type 1,simple,modified,1,WP 1,100%,,
Discount-Vouchers - import,Discount,Vouchers - import,Import a CSV file with codes with reference to a Discount from Backoffice,Custom,Backoffice,N,1,Vouchers - import,commerce business modules,medium,new,1,WP 1,100%,,
CRM-Reorder,CRM,Reorder,Customers can go to the Order History page in their Customer Account and reorder either the entire order or individual items from it.,Base,Frontend,Y,1,Reorder,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/customer-relationship-management/202307.0/base-shop/reorder-feature-overview.html,
IAM-SSO for Administrators,IAM,SSO for Administrators,Allowing users to log in to the Spryker Back Office with their Identity Access Manager credentials (OOTB integration with the MS Azure Active Directory),Base,Backoffice,N,1,SSO for Administrators,commerce integration components,complex,new,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/identity-access-management/202307.0/identity-access-management.html,
IAM-SSO for Customers,IAM,SSO for Customers,Allowing customers to log in with SSO based authentication,Custom,Frontend,Y,1,SSO for Customers,commerce business modules,medium,modified,1,WP 1,100%,,
IAM-SSO for Merchants,IAM,SSO for Merchants,Allowing customers to log in with Auth0 based authentication,Custom,MerchantPortal,N,1,SSO for Merchants,configuration objects type 1,simple,modified,1,WP 1,100%,,
Inventory-Availability Notification,Inventory,Availability Notification,Allow customers to opt-in for automated notifications when any unavailable product becomes available again.,Base,Frontend,N,1,Availability Notification,configuration objects type 3,simple,new,1,WP 1,100%,,
Inventory-Merchant Product Offers,Inventory,Merchant Product Offers,Merchant Offers help avoid confusing duplications of products in the Marketplace,Custom,MerchantPortal,N,1,Merchant Product Offers,commerce business modules,medium,new,1,WP 1,100%,,
Inventory-Stock and Availability management,Inventory,Stock and Availability management,"OOTB behaviour is when the order is made, the stock is not updated automatically in the system, this may be done manually or via customisation.
OOTB availability driven by OMS.
Covers Merchant Warehauses from Marketplace PCB.",Base,Backoffice,N,1,Stock and Availability management,commerce business modules,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/warehouse-management-system/202307.0/base-shop/inventory-management-feature-overview.html#avalara-warehouse-assignment-to-order-items ,
Inventory-Warehouse Management,Inventory,Warehouse Management,"Configure/import (from CSV) warehouses and assing them to store or storesin the Back Office.
Ability to define warehouse address that will be used as the shipping origin address by importing the warehouse address data.
Covers Merchant Warehauses from Marketplace PCB.",Base,Backoffice,N,1,Warehouse Management,commerce business modules,medium,new,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/warehouse-management-system/202307.0/base-shop/inventory-management-feature-overview.html#avalara-warehouse-assignment-to-order-items ,
Localisation & Translation-Back Office Translations,Localisation & Translation,Back Office Translations,The Back Office Translations feature introduces a way to translate the Administration interface (Zed) into different languages,Base,Backoffice,N,1,Back Office Translations,configuration objects type 3,medium,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/back-office/202307.0/back-office-translations-overview.html ,
Localisation & Translation-Glossary Management,Localisation & Translation,Glossary Management,Store and manage basic text information in a variety languages,Base,Backoffice,N,1,Glossary Management,configuration objects type 3,simple,modified,1,WP 1,100%,,
Localisation & Translation-Storefront Translations,Localisation & Translation,Storefront Translations,Translations of content visible on Storefront,Base,Frontend,Y,1,Storefront Translations,configuration objects type 3,medium,modified,1,WP 1,100%,,
Merchant-Merchant Category,Merchant,Merchant Category,Ability to introduce convenient way to find the necessary and relevant merchants and their products according to certain merchant categories.,Marketplace,Backoffice,N,1,Merchant Category,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/merchant-management/202307.0/marketplace/merchant-category-feature-overview.html,
Merchant-Merchant Management,Merchant,Merchant Management,"The Operator can create, edit, and approve Merchants and Merchant Users, allowing them access to the Merchant Portal.",Marketplace,Backoffice,N,1,Merchant Management,,,,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/merchant-management/202307.0/marketplace/manage-in-the-back-office/manage-merchants-and-merchant-users-in-the-back-office.html ,
Merchant-Merchant Portal,Merchant,Merchant Portal,"The Marketplace Merchant Portal Core enables server configuration and basic functions of the Merchant Portal application, such as secure login, GUI tables, and dashboards. ",Marketplace,MerchantPortal,N,1,Merchant Portal,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/merchant-management/202307.0/marketplace/marketplace-merchant-portal-core-feature-overview/marketplace-merchant-portal-core-feature-overview.html ,
Merchant-Merchant Portal Login,Merchant,Merchant Portal Login,Ability for Merchant users to login into Merchant Portal. Inbuild authorisation.,Marketplace,MerchantPortal,N,1,Merchant Portal Login,configuration objects type 1,simple,modified,1,WP 1,100%,,
Merchant-Merchant Product Offers,Merchant,Merchant Product Offers,"The Product Offer entity is created when multiple merchants need to sell the same product on the Marketplace.
Marketplace administrators can view and approve or deny merchants’ product offers in the Back Office.",Marketplace,MerchantPortal,N,1,Merchant Product Offers,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/offer-management/202307.0/marketplace/marketplace-product-offer-feature-overview.html ,
Merchant-Merchant Product Restrictions,Merchant,Merchant Product Restrictions,"The Product Restrictions feature lets merchants define the products that are available to each of their B2B customers.
List of products is crated in Backoffice, not Merchant Portal, or imported via CSV.",B2B,Backoffice,N,1,Merchant Product Restrictions,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/merchant-management/202307.0/base-shop/merchant-product-restrictions-feature-overview/merchant-product-restrictions-feature-overview.html ,
Merchant-Merchant Profile,Merchant,Merchant Profile,Ability for Merchant to create and edit the information on himself that is being displayed on the Merchant profile page to customers.,Marketplace,MerchantPortal,N,1,Merchant Profile,commerce business modules,medium,new,1,WP 1,100%,,
Notifications-Email notifications,Notifications,Email notifications,"Automated emails related to customer and transactional operations (order status, shipping etc).",Base,Backoffice,N,1,Email notifications,configuration objects type 3,medium,new,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/emails/202307.0/emails.html#transactional-email-management ,
Notifications-Receipient integration with Salesforce,Notifications,Receipient integration with Salesforce,Receipient integration with Salesforce,Custom,eCommerce,N,1,Receipient integration with Salesforce,commerce integration components,medium,new,1,WP 1,100%,,
Notifications-SMS notifications,Notifications,SMS notifications,Integration with external service for SMS handling,Custom,eCommerce,N,1,SMS notifications,commerce integration components,medium,new,1,WP 1,100%,,
OMS-Annual Returns for Backoffice,OMS,Annual Returns for Backoffice,Annual Returns for Backoffice,Custom,Backoffice,N,1,Annual Returns for Backoffice,commerce business modules,complex,new,1,WP 1,100%,,
OMS-Annual Returns. Approval,OMS,Annual Returns. Approval,Annual Returns. Approval,Custom,Frontend,N,1,Annual Returns. Approval,commerce business modules,medium,new,1,WP 1,100%,,
OMS-Annual Returns. Create and Status,OMS,Annual Returns. Create and Status,Annual Returns. Create and Status,Custom,Frontend,N,1,Annual Returns. Create and Status,commerce business modules,medium,new,1,WP 1,100%,Build data models and state machine,
OMS-Annual Returns. Credit Memo,OMS,Annual Returns. Credit Memo,Annual Returns. Credit Memo,Custom,Frontend,N,1,Annual Returns. Credit Memo,commerce business modules,medium,new,1,WP 1,100%,,
OMS-Annual Returns. Download,OMS,Annual Returns. Download,Annual Returns. Download,Custom,Frontend,N,1,Annual Returns. Download,commerce business modules,simple,new,1,WP 1,100%,Download Excel form file,
OMS-Invoice Generation,OMS,Invoice Generation,An automated Invoice Generator sends out order invoices to customers via email.,Base,Backoffice,N,1,Invoice Generation,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/order-management-system/202307.0/base-shop/order-management-feature-overview/invoice-generation-overview.html ,
OMS-Merchant Orders Management,OMS,Merchant Orders Management,The Operator can view and manage general Marketplace and specific Merchant orders,Marketplace,MerchantPortal,N,1,Merchant Orders Management,configuration objects type 1,simple,modified,1,WP 1,100%,,
OMS-Order Cancellation,OMS,Order Cancellation,Ability to cancel an order by customer and in Back Office. Integrated with State Machine.,Base,Frontend,N,1,Order Cancellation,commerce business modules,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/order-management-system/202307.0/base-shop/order-management-feature-overview/order-cancellation-overview.html ,
PIM-Guided Selling,PIM,Guided Selling,,Custom,Frontend,Y,1,Guided Selling,commerce business modules,medium,new,1,WP 1,100%,,
OMS-Order Split for multiple ERP,OMS,Order Split for multiple ERP,Order Split for multiple ERP,Custom,Backoffice,N,1,Order Split for multiple ERP,commerce integration components,medium,new,1,WP 1,100%,,
OMS-Packing Slip Download for Merchant,OMS,Packing Slip Download for Merchant,Packing Slip Download,Custom,Frontend,N,1,Packing Slip Download for Merchant,commerce business modules,simple,new,1,WP 1,100%,PDF generation,
OMS-Packing Slip for Merchant,OMS,Packing Slip for Merchant,Packing Slip,Custom,Frontend,N,1,Packing Slip for Merchant,commerce business modules,simple,new,1,WP 1,100%,Data model ,
OMS-Reclamations Management in Backoffice,OMS,Reclamations Management in Backoffice,"The Reclamations feature provides a way for administrators to handle all the customer order claims. The shop administrators can create, view, and edit the reclamations in the dedicated section of the Administration Interface.
Reclamation management not available in Merchant Portal.",Base,Backoffice,N,1,Reclamations Management in Backoffice,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/order-management-system/202307.0/base-shop/reclamations-feature-overview.html#related-business-user-documents,
OMS-Refunds,OMS,Refunds,"Refunds handled automatically in the Back Office once the order has been delivered. Your customers can return the entire order or parts thereof by means of the order splitting mechanism. Every order contains information about the total possible refund value and how much has already been refunded.
Refunds management not available in Merchant Portal.",Base,Backoffice,N,1,Refunds,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/order-management-system/202307.0/base-shop/refunds-feature-overview.html ,
OMS-Return Management,OMS,Return Management,"The Return Management capability lets you create and manage returns for sales orders.
The capability consists of a base shop and the marketplace addon",Base,Frontend,N,1,Return Management,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/return-management/202307.0/return-management.html ,
OMS-Splittable Order Items,OMS,Splittable Order Items,"Ability configure if purchased items are to be splitted or not.
As a final step of checkout, for each item in the cart, sales order items are created. By default, each product concrete is splittable. ",Base,Backoffice,N,1,Splittable Order Items,configuration objects type 1,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/order-management-system/202307.0/base-shop/order-management-feature-overview/splittable-order-items-overview.html ,
IAM-Backend administrator user and roles setup,IAM,Backend administrator user and roles setup,Setup of 3 administrator roles and import of admin accounts within ootb format,Base,Backoffice,Y,1,Backend administrator user and roles setup,configuration objects type 3,simple,modified,1,WP 1,100%,,
PIM-Alternative Products,PIM,Alternative Products,"Ability to suggesting product alternatives to support browsing through catalog. Product alternatives let customers jump from one product page to the next until they find a relevant item.
On the product details page of a product that’s a product alternative for another product, you can see a Replacement for.",Base,Backoffice,N,1,Alternative Products,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/alternative-products-feature-overview.html ,
OMS-Order Management,OMS,Order Management,Manually manage orders (also create) via Back Office,Base,Backoffice,Y,1,Order Management,configuration objects type 3,simple,modified,1,WP 1,100%,,
OMS-State Machine Modelling,OMS,State Machine Modelling,"The State Machine allows to implement processes and map out business workflows, model the order process with states and transitions.",Base,Backoffice,Y,1,State Machine Modelling,configuration objects type 3,complex,modified,1,WP 1,100%,"https://docs.spryker.com/docs/pbc/all/order-management-system/202307.0/order-management-system.html 

https://docs.spryker.com/docs/pbc/all/order-management-system/202307.0/base-shop/datapayload-conversion/state-machine/order-process-modelling-via-state-machines.html#state-machine-module ",
PIM-Category Management,PIM,Category Management,Manage product catalog with customized categories and category pages to easily track and sort your items.,Base,Backoffice,Y,1,Category Management,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/category-management-feature-overview.html#root-parent-and-child-categories,
PIM-Category Pages. PLP.,PIM,Category Pages. PLP.,add multiple top and sub- category grid overview pages before drilling down to the product level,Base,Frontend,Y,1,Category Pages. PLP.,configuration objects type 3,complex,modified,1,WP 1,100%,,
PIM-Discontinued products,PIM,Discontinued products,Ability to mark a concrete product as a discontinued product. Discontinued is a product which is no longer produced by its manufacturer. The product may have positive or negative stock.,Base,Backoffice,N,1,Discontinued products,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-feature-overview/discontinued-products-overview.html ,
PIM-Configurable Bundle,PIM,Configurable Bundle,"A configurable bundle is a product bundle for which a Storefront User selects products on the Storefront. For example, when buying a kitchen set, a customer selects pieces of furniture, like drawers, cupboards, or cabinets, from suggested options.",Base,Backoffice,N,1,Configurable Bundle,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/configurable-bundle-feature-overview.html,
PIM-Gift Card,PIM,Gift Card,"The Gift Cards capability lets you create a special product type with a chosen value amount. The purchase of a gift card generates an individual code that can then be used as a payment method during checkout.
When paying for orders with a gift card, the gift cards are considered as an additional payment method.",Base,Frontend,N,1,Gift Card,configuration objects type 1,simple,modified,1,WP 1,100%,,
PIM-Configurable Product,PIM,Configurable Product,"The Configurable Product feature introduces a new type of product, a configurable product, that customers can customize.",Base,Backoffice,Y,1,Configurable Product,configuration objects type 3,medium,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/configurable-product-feature-overview/configurable-product-feature-overview.html#configurable-product,
PIM-Merchant Product Approval Process,PIM,Merchant Product Approval Process,The Operator can approve Merchant Products to control their product offerings,Marketplace,Backoffice,N,1,Merchant Product Approval Process,configuration objects type 3,simple,modified,1,WP 1,100%,,
CMS-Installed Bases,CMS,Installed Bases,,Custom,Frontend,N,1,Installed Bases,commerce business modules,medium,new,1,WP 1,100%,,
CMS-Marketplace,CMS,Marketplace,,Custom,Frontend,N,1,Marketplace,commerce business modules,medium,new,1,WP 1,100%,,
